issn,eissn,scope_status,scope_confidence,scope_source_url,fetched_at
15800261,23504234,official_scope_clean,0.9,https://journals.uni-lj.si/keria/about,2026-08-28T23:57:21Z
,23188081,metadata_only,0.1,https://revistas.unilasalle.edu.br/index.php/redes/about/editorialPolicies#focusAndScope,2026-08-29T16:36:56Z
15818918,23860316,official_scope_clean,0.9,https://journals.uni-lj.si/elope/about,2026-08-28T23:57:23Z
,23352736,official_scope_clean,0.9,https://journals.uni-lj.si/slovenscina2/about,2026-08-28T23:57:26Z
,20071868,official_scope_clean,0.9,https://stoa.uv.mx/index.php/Stoa/enfoque-y-alcance,2026-08-29T16:51:30Z
00243922,2350420X,official_scope_clean,0.9,https://journals.uni-lj.si/linguistica/about,2026-08-28T23:57:28Z
27076946,27076954,official_journal_description,0.35,http://revistas.udh.edu.pe/index.php/RPCS/politicas,2026-08-29T16:51:36Z
24089303,2619130X,metadata_only,0.1,https://accounting.fa.ru/jour/about/editorialPolicies#focusAndScope,2026-08-29T16:51:23Z
,21598126,official_scope_clean,0.9,https://ojs.ethnobiology.org/index.php/ebl/about,2026-08-28T23:57:13Z
01038478,16784596,blocked,0.0,http://www.scielo.br/scielo.php?script=sci_serial&lng=en&pid=0103-8478&nrm=iso,2026-08-28T23:57:13Z
19786670,25794167,blocked,0.0,http://ejournal.uinsaizu.ac.id/index.php/almanahij/focusandscope,2026-08-28T23:57:11Z
25286773,25499971,blocked,0.0,http://ejournal.uinsaizu.ac.id/index.php/maghza/about,2026-08-28T23:57:13Z
02108364,26039710,official_scope_clean,0.9,https://revistas.ucm.es/index.php/STRA/es/about,2026-08-28T23:57:17Z
20669399,,official_scope_clean,0.9,https://clujveterinaryjournal.ro/index.php/cvj/about,2026-08-28T23:57:13Z
,23133171,blocked,0.0,https://revistas.unitru.edu.pe/index.php/facccbiol/enfoqueyalcaces,2026-08-28T23:57:12Z
27321002,27321703,official_scope_partial,0.5,https://ojs.mtak.hu/index.php/tanc_es_neveles/about,2026-08-29T12:17:23Z
22517510,23222158,official_scope_clean,0.9,https://ijn.mums.ac.ir/journal/aim_scope,2026-08-28T23:57:13Z
,19420986,blocked,0.0,https://www.portugueselanguagejournal.com/home,2026-08-28T23:57:11Z
,19718357,official_scope_partial,0.5,https://journals.uniurb.it/index.php/argomenti/about,2026-08-28T23:57:16Z
03935647,27243559,unavailable,0.0,https://www.epicentro.iss.it/ben/la-rivista,2026-08-29T12:17:23Z
10086218,,unavailable,0.0,http://nmdj.cbpt.cnki.net/WKD/WebPublication/index.aspx?mid=nmdj,2026-08-29T12:17:26Z
15146006,16692721,official_scope_clean,0.9,https://publicaciones.uap.edu.ar/index.php/revistaenfoques/about,2026-08-28T23:57:14Z
01201425,27111318,official_scope_clean,0.9,https://revistas.sgc.gov.co/index.php/boletingeo/politica,2026-08-28T23:57:13Z
23128127,2312833X,official_scope_clean,0.9,https://journals.rudn.ru/world-history/about/editorialPolicies,2026-08-28T23:57:16Z
23132299,24111236,official_scope_clean,0.9,https://journals.rudn.ru/semiotics-semantics/about/editorialPolicies,2026-08-28T23:57:19Z
,26210851,official_journal_description,0.35,http://e-journal.hamzanwadi.ac.id/index.php/sbs/pages/view/FOCUS%20AND%20SCOPE,2026-08-29T17:25:40Z
09747893,09747907,official_scope_partial,0.5,https://threatenedtaxa.org/index.php/JoTT/about,2026-08-29T13:54:28Z
22517650,22517669,unavailable,0.0,http://theoryofgroups.ir/journal/aim_scope,2026-08-29T11:30:49Z
10021248,,official_journal_description,0.35,http://nytsqb.aiijournal.com/EN/column/column55.shtml,2026-08-28T23:57:16Z
26770431,24986984,official_scope_clean,0.9,https://www.turisztikaitanulmanyok.hu/en/,2026-08-29T12:17:26Z
,25650564,official_journal_description,0.35,https://raco.cat/index.php/PsicosomPsiquiatr/about,2026-08-29T12:17:24Z
,07180527,official_scope_minor_noise,0.75,https://revistamad.uchile.cl/index.php/RMAD/about,2026-08-29T11:30:49Z
00679674,07189303,official_scope_partial,0.5,https://boletinfilologia.uchile.cl/index.php/BDF/about,2026-08-28T23:57:16Z
10071881,,unavailable,0.0,http://zjdl.cbpt.cnki.net/WKE/WebPublication/wkTextContent.aspx?navigationContentID=4e44aa0a-ef7c-42b8-a2c4-8095ba30d290,2026-08-29T11:30:48Z
01027786,19824351,official_scope_clean,0.9,https://www.scielo.br/journal/rbmet/about/,2026-08-28T23:57:18Z
01003143,21756236,official_scope_minor_noise,0.75,https://seer.ufrgs.br/index.php/educacaoerealidade/about,2026-08-28T23:57:19Z
03510271,15811328,official_journal_description,0.35,http://www.geodetski-vestnik.com/en/home,2026-08-29T11:30:49Z
,26757508,unavailable,0.0,https://www.e-publicacoes.uerj.br/index.php/rdciv/about/editorialPolicies#focusAndScope,2026-08-29T12:17:24Z
03003604,15739058,official_scope_clean,0.8,https://www.pjip.org/journal/1019371/photosynthetica-praha-,2026-09-04T17:02:04Z
