issn,eissn,status,year
,00197866,inactive,1970
,01068377,inactive,2015
,01699377,inactive,2023
,01699601,inactive,2020
,01896016,discontinued,2017
,02506882,discontinued,2025
,03089126,inactive,1990
,07919417,inactive,2023
,09274103,inactive,2023
,09725784,discontinued,2021
,09736042,inactive,2016
,0974276X,discontinued,2014
,09742891,policy,2025
,09747877,inactive,2019
,09748369,discontinued,2016
,09750185,discontinued,2016
,09750215,discontinued,2015
,09750851,discontinued,2014
,09751459,discontinued,2018
,09751556,discontinued,2016
,09752366,discontinued,2021
,09752935,discontinued,2022
,09753648,inactive,2011
,0975413X,discontinued,2016
,09754873,discontinued,2016
,09755071,discontinued,2016
,09755160,discontinued,2016
,09756299,discontinued,2016
,09757384,discontinued,2016
,09757538,discontinued,2020
,09757619,discontinued,2017
,0975766X,discontinued,2016
,09758216,discontinued,2015
,09758542,discontinued,2020
,09758585,discontinued,2017
,09759344,discontinued,2015
,09759506,discontinued,2024
,09761055,discontinued,2011
,0976822X,discontinued,2017
,10550143,inactive,2002
,10691898,inactive,2021
,10708286,inactive,2016
,10727639,inactive,2003
,10735127,inactive,2014
,10796762,inactive,2010
,10829873,inactive,2017
,10866655,inactive,2009
,10870091,inactive,2011
,10893032,discontinued,2016
,10924078,inactive,2015
,10925783,inactive,2005
,10961232,inactive,2005
,1096214X,inactive,2003
,10964886,inactive,2014
,10979778,inactive,2015
,10984402,inactive,2015
,1099839X,inactive,2017
,11375019,inactive,2015
,11742704,inactive,2012
,11752882,inactive,2017
,11772484,inactive,2012
,11772727,inactive,2017
,11773901,inactive,2018
,1177391X,inactive,2016
,11773936,inactive,2017
,11776250,inactive,2019
,11779314,inactive,2009
,11781149,inactive,2009
,11781157,inactive,2009
,11781165,inactive,2009
,11781173,inactive,2009
,11781181,inactive,2010
,1178119X,inactive,2009
,1178122X,inactive,2020
,11782218,inactive,2023
,11782242,inactive,2018
,11782269,inactive,2009
,11786310,inactive,2019
,11786345,inactive,2019
,11786353,inactive,2019
,11786418,inactive,2019
,11786426,inactive,2016
,1178699X,inactive,2018
,11787074,discontinued,2023
,11790660,inactive,2019
,11790695,inactive,2019
,11791330,inactive,2016
,1179139X,inactive,2016
,11791403,discontinued,2020
,11791497,inactive,2016
,11791551,inactive,2013
,11791624,inactive,2018
,1179237X,inactive,2017
,1179318X,inactive,2015
,1179545X,inactive,2021
,11795484,inactive,2023
,11795522,inactive,2018
,11795530,inactive,2017
,1179559X,inactive,2019
,11955449,inactive,2003
,12069620,inactive,2009
,12928933,inactive,2003
,13035150,discontinued,2022
,13053124,policy,2024
,13053515,discontinued,2021
,1305578X,discontinued,2021
,13063057,discontinued,2018
,13063065,discontinued,2016
,13071637,discontinued,2017
,13075543,discontinued,2025
,13079867,inactive,2016
,13085581,discontinued,2021
,13090801,inactive,2019
,13094653,discontinued,2020
,13096591,discontinued,2020
,13139916,discontinued,2025
,13169688,inactive,2015
